createdAt;chargeLevelPercent;houseLoadPowerW;batteryVoltageV;dischargingCurrentA
Mon Feb 05 2024 13:51:58 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:04 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:09 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:14 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:21 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:27 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:32 GMT+0000 (Coordinated Universal Time);95;0;54.5;0
Mon Feb 05 2024 13:52:38 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:43 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:49 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:52:54 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:53:06 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:53:09 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:53:15 GMT+0000 (Coordinated Universal Time);95;0;54.7;0
Mon Feb 05 2024 13:53:21 GMT+0000 (Coordinated Universal Time);95;0;54.7;0
Mon Feb 05 2024 13:53:26 GMT+0000 (Coordinated Universal Time);95;0;54.7;0
Mon Feb 05 2024 13:53:33 GMT+0000 (Coordinated Universal Time);95;0;54.7;0
Mon Feb 05 2024 13:53:38 GMT+0000 (Coordinated Universal Time);95;0;54.5;0
Mon Feb 05 2024 13:53:43 GMT+0000 (Coordinated Universal Time);99;2;54.5;0
Mon Feb 05 2024 13:53:49 GMT+0000 (Coordinated Universal Time);99;0;54.6;0
Mon Feb 05 2024 13:53:54 GMT+0000 (Coordinated Universal Time);99;0;54.4;0
Mon Feb 05 2024 13:54:03 GMT+0000 (Coordinated Universal Time);99;0;54.4;0
Mon Feb 05 2024 13:54:09 GMT+0000 (Coordinated Universal Time);99;1;54.4;0
Mon Feb 05 2024 13:54:14 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:54:19 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:54:25 GMT+0000 (Coordinated Universal Time);99;5;54.2;0
Mon Feb 05 2024 13:54:31 GMT+0000 (Coordinated Universal Time);99;0;54.5;0
Mon Feb 05 2024 13:54:36 GMT+0000 (Coordinated Universal Time);99;0;54.4;0
Mon Feb 05 2024 13:54:41 GMT+0000 (Coordinated Universal Time);99;4;54.4;0
Mon Feb 05 2024 13:54:47 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:56:33 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:56:39 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:56:44 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:56:50 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:56:57 GMT+0000 (Coordinated Universal Time);99;0;54.4;0
Mon Feb 05 2024 13:57:05 GMT+0000 (Coordinated Universal Time);99;0;54.4;0
Mon Feb 05 2024 13:57:09 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:57:11 GMT+0000 (Coordinated Universal Time);99;0;54.3;0
Mon Feb 05 2024 13:58:20 GMT+0000 (Coordinated Universal Time);100;12;54;0
Mon Feb 05 2024 13:58:26 GMT+0000 (Coordinated Universal Time);100;12;54;0
Mon Feb 05 2024 13:58:31 GMT+0000 (Coordinated Universal Time);99;1483;52.4;29
Mon Feb 05 2024 13:58:36 GMT+0000 (Coordinated Universal Time);99;1485;52.3;29
Mon Feb 05 2024 13:58:42 GMT+0000 (Coordinated Universal Time);91;1483;52.3;29
Mon Feb 05 2024 13:58:50 GMT+0000 (Coordinated Universal Time);90;1486;52.2;29
Mon Feb 05 2024 13:58:57 GMT+0000 (Coordinated Universal Time);91;1483;52.1;29
Mon Feb 05 2024 13:59:04 GMT+0000 (Coordinated Universal Time);89;1480;52.1;29
Mon Feb 05 2024 13:59:12 GMT+0000 (Coordinated Universal Time);88;1482;52;30
Mon Feb 05 2024 13:59:19 GMT+0000 (Coordinated Universal Time);88;1483;52;30
Mon Feb 05 2024 13:59:26 GMT+0000 (Coordinated Universal Time);87;1488;51.9;31
Mon Feb 05 2024 13:59:32 GMT+0000 (Coordinated Universal Time);87;1482;51.9;31
Mon Feb 05 2024 13:59:37 GMT+0000 (Coordinated Universal Time);87;1484;51.9;30
Mon Feb 05 2024 13:59:42 GMT+0000 (Coordinated Universal Time);87;1484;51.9;30
Mon Feb 05 2024 13:59:50 GMT+0000 (Coordinated Universal Time);87;1484;51.7;31
Mon Feb 05 2024 13:59:55 GMT+0000 (Coordinated Universal Time);87;1484;51.7;31
Mon Feb 05 2024 14:00:01 GMT+0000 (Coordinated Universal Time);85;1485;51.7;30
Mon Feb 05 2024 14:00:05 GMT+0000 (Coordinated Universal Time);85;1482;51.7;30
Mon Feb 05 2024 14:00:11 GMT+0000 (Coordinated Universal Time);85;1487;51.7;30
Mon Feb 05 2024 14:00:16 GMT+0000 (Coordinated Universal Time);84;1484;51.6;31
Mon Feb 05 2024 14:00:22 GMT+0000 (Coordinated Universal Time);84;1483;51.6;30
Mon Feb 05 2024 14:00:27 GMT+0000 (Coordinated Universal Time);84;1489;51.6;30
Mon Feb 05 2024 14:00:33 GMT+0000 (Coordinated Universal Time);84;1487;51.6;30
Mon Feb 05 2024 14:00:39 GMT+0000 (Coordinated Universal Time);84;1481;51.6;30
Mon Feb 05 2024 14:00:45 GMT+0000 (Coordinated Universal Time);83;1483;51.5;31
Mon Feb 05 2024 14:00:50 GMT+0000 (Coordinated Universal Time);84;1482;51.4;31
Mon Feb 05 2024 14:00:55 GMT+0000 (Coordinated Universal Time);82;1486;51.4;31
Mon Feb 05 2024 14:01:04 GMT+0000 (Coordinated Universal Time);83;1487;51.5;30
Mon Feb 05 2024 14:01:09 GMT+0000 (Coordinated Universal Time);82;1487;51.4;30
Mon Feb 05 2024 14:01:15 GMT+0000 (Coordinated Universal Time);82;1485;51.4;30
Mon Feb 05 2024 14:01:22 GMT+0000 (Coordinated Universal Time);82;1487;51.4;30
Mon Feb 05 2024 14:01:29 GMT+0000 (Coordinated Universal Time);81;1486;51.3;30
Mon Feb 05 2024 14:01:35 GMT+0000 (Coordinated Universal Time);81;1485;51.3;30
Mon Feb 05 2024 14:01:40 GMT+0000 (Coordinated Universal Time);81;1484;51.3;30
Mon Feb 05 2024 14:01:47 GMT+0000 (Coordinated Universal Time);81;1487;51.3;30
Mon Feb 05 2024 14:01:52 GMT+0000 (Coordinated Universal Time);81;1487;51.3;30
Mon Feb 05 2024 14:01:58 GMT+0000 (Coordinated Universal Time);80;1487;51.2;30
Mon Feb 05 2024 14:02:03 GMT+0000 (Coordinated Universal Time);80;1484;51.2;31
Mon Feb 05 2024 14:02:09 GMT+0000 (Coordinated Universal Time);79;1483;51.1;31
Mon Feb 05 2024 14:02:14 GMT+0000 (Coordinated Universal Time);79;1486;51.1;32
Mon Feb 05 2024 14:02:20 GMT+0000 (Coordinated Universal Time);79;1487;51.1;30
Mon Feb 05 2024 14:02:26 GMT+0000 (Coordinated Universal Time);79;1484;51.1;30
Mon Feb 05 2024 14:02:31 GMT+0000 (Coordinated Universal Time);79;1483;51.1;30
Mon Feb 05 2024 14:02:36 GMT+0000 (Coordinated Universal Time);79;1483;51.1;30
Mon Feb 05 2024 14:02:42 GMT+0000 (Coordinated Universal Time);79;1483;51.1;30
Mon Feb 05 2024 14:02:47 GMT+0000 (Coordinated Universal Time);79;1486;51.1;30
Mon Feb 05 2024 14:02:53 GMT+0000 (Coordinated Universal Time);78;1481;51;32
Mon Feb 05 2024 14:02:58 GMT+0000 (Coordinated Universal Time);78;1482;51;30
Mon Feb 05 2024 14:03:04 GMT+0000 (Coordinated Universal Time);78;1486;51;30
Mon Feb 05 2024 14:03:10 GMT+0000 (Coordinated Universal Time);77;1484;50.9;30
Mon Feb 05 2024 14:03:16 GMT+0000 (Coordinated Universal Time);77;1485;50.9;30
Mon Feb 05 2024 14:03:21 GMT+0000 (Coordinated Universal Time);76;1482;50.8;32
Mon Feb 05 2024 14:03:26 GMT+0000 (Coordinated Universal Time);76;1484;50.8;32
Mon Feb 05 2024 14:03:32 GMT+0000 (Coordinated Universal Time);77;1397;50.9;30
Mon Feb 05 2024 14:03:37 GMT+0000 (Coordinated Universal Time);77;1392;50.9;28
Mon Feb 05 2024 14:03:43 GMT+0000 (Coordinated Universal Time);77;1392;50.9;28
Mon Feb 05 2024 14:03:48 GMT+0000 (Coordinated Universal Time);76;1484;50.8;30
Mon Feb 05 2024 14:03:54 GMT+0000 (Coordinated Universal Time);76;1485;50.8;30
Mon Feb 05 2024 14:03:59 GMT+0000 (Coordinated Universal Time);76;1485;50.8;30
Mon Feb 05 2024 14:04:05 GMT+0000 (Coordinated Universal Time);75;1484;50.7;32
Mon Feb 05 2024 14:04:11 GMT+0000 (Coordinated Universal Time);75;1484;50.7;32
Mon Feb 05 2024 14:04:16 GMT+0000 (Coordinated Universal Time);75;1383;50.7;30
Mon Feb 05 2024 14:04:21 GMT+0000 (Coordinated Universal Time);75;1390;50.7;30
Mon Feb 05 2024 14:04:27 GMT+0000 (Coordinated Universal Time);75;1390;50.7;30
Mon Feb 05 2024 14:04:32 GMT+0000 (Coordinated Universal Time);76;1387;50.8;28
Mon Feb 05 2024 14:04:38 GMT+0000 (Coordinated Universal Time);76;1389;50.8;28
Mon Feb 05 2024 14:04:43 GMT+0000 (Coordinated Universal Time);75;1387;50.7;28
Mon Feb 05 2024 14:04:48 GMT+0000 (Coordinated Universal Time);75;1386;50.7;28
Mon Feb 05 2024 14:04:54 GMT+0000 (Coordinated Universal Time);74;1389;50.6;30
Mon Feb 05 2024 14:04:59 GMT+0000 (Coordinated Universal Time);74;1389;50.6;30
Mon Feb 05 2024 14:05:04 GMT+0000 (Coordinated Universal Time);74;1387;50.6;30
Mon Feb 05 2024 14:05:10 GMT+0000 (Coordinated Universal Time);74;1390;50.6;30
Mon Feb 05 2024 14:05:15 GMT+0000 (Coordinated Universal Time);74;1388;50.6;28
Mon Feb 05 2024 14:05:21 GMT+0000 (Coordinated Universal Time);74;1388;50.6;28
Mon Feb 05 2024 14:05:26 GMT+0000 (Coordinated Universal Time);74;1388;50.6;28
Mon Feb 05 2024 14:05:32 GMT+0000 (Coordinated Universal Time);74;1389;50.6;28
